cohort,cell,system,subset,n_cases,n_publications,top1,top5,top10,mrr,ndcg10,top1_count,top5_count,top10_count
standard,K,Exomiser (HPO-only),full,1047,415,0.690544,0.821394,0.858644,0.753955,0.774734,723,860,899
standard,K,Exomiser (HPO-only),overlap_present,765,322,0.657516,0.783007,0.833987,0.719937,0.741548,503,599,638
standard,K,Exomiser (HPO-only),overlap_absent,282,93,0.780142,0.925532,0.925532,0.846238,0.864761,220,261,261
standard,K,Exomiser (HPO-only),pre2020,601,251,0.846922,0.936772,0.950083,0.889974,0.903784,509,563,571
standard,K,Exomiser (HPO-only),post2020,446,164,0.479821,0.665919,0.735426,0.570665,0.600834,214,297,328
standard,K,Exomiser (HPO-only),post2020_overlap_absent,88,18,0.818182,0.988636,0.988636,0.889305,0.913938,72,87,87
standard,M,LIRICAL (HPO-only),full,1047,415,0.923591,0.988539,0.999045,0.952749,0.964195,967,1035,1046
standard,M,LIRICAL (HPO-only),overlap_present,765,322,0.977778,0.997386,0.998693,0.9865,0.989544,748,763,764
standard,M,LIRICAL (HPO-only),overlap_absent,282,93,0.776596,0.964539,1.0,0.861193,0.89543,219,272,282
standard,M,LIRICAL (HPO-only),pre2020,601,251,0.915141,0.980033,0.998336,0.945805,0.958625,550,589,600
standard,M,LIRICAL (HPO-only),post2020,446,164,0.934978,1.0,1.0,0.962108,0.971701,417,446,446
standard,M,LIRICAL (HPO-only),post2020_overlap_absent,88,18,0.772727,1.0,1.0,0.870644,0.903632,68,88,88
standard,D,Multi-agent baseline,full,1047,415,0.460363,0.580707,0.628462,0.529516,0.542422,482,608,658
standard,D,Multi-agent baseline,overlap_present,765,322,0.454902,0.560784,0.610458,0.518681,0.529344,348,429,467
standard,D,Multi-agent baseline,overlap_absent,282,93,0.475177,0.634752,0.677305,0.55891,0.577898,134,179,191
standard,D,Multi-agent baseline,pre2020,601,251,0.547421,0.687188,0.727121,0.619224,0.637354,329,413,437
standard,D,Multi-agent baseline,post2020,446,164,0.343049,0.43722,0.495516,0.408631,0.414497,153,195,221
standard,D,Multi-agent baseline,post2020_overlap_absent,88,18,0.465909,0.613636,0.659091,0.544865,0.563021,41,54,58
standard,L,+ CE-rerank (inside),full,1047,415,0.698185,0.790831,0.813754,0.745189,0.756336,731,828,852
standard,L,+ CE-rerank (inside),overlap_present,765,322,0.652288,0.742484,0.76732,0.699154,0.708744,499,568,587
standard,L,+ CE-rerank (inside),overlap_absent,282,93,0.822695,0.921986,0.939716,0.870069,0.885442,232,260,265
standard,L,+ CE-rerank (inside),pre2020,601,251,0.806988,0.895175,0.906822,0.84802,0.859843,485,538,545
standard,L,+ CE-rerank (inside),post2020,446,164,0.55157,0.650224,0.688341,0.60662,0.616857,246,290,307
standard,L,+ CE-rerank (inside),post2020_overlap_absent,88,18,0.818182,0.931818,0.954545,0.87038,0.890009,72,82,84
standard,S,GenoAgent,full,1047,415,0.725883,0.798472,0.816619,0.766274,0.773302,760,836,855
standard,S,GenoAgent,overlap_present,765,322,0.677124,0.74902,0.771242,0.718479,0.724687,518,573,590
standard,S,GenoAgent,overlap_absent,282,93,0.858156,0.932624,0.939716,0.895929,0.905181,242,263,265
standard,S,GenoAgent,pre2020,601,251,0.838602,0.900166,0.91015,0.870532,0.877869,504,541,547
standard,S,GenoAgent,post2020,446,164,0.573991,0.661435,0.690583,0.625782,0.632394,256,295,308
standard,S,GenoAgent,post2020_overlap_absent,88,18,0.852273,0.931818,0.954545,0.893108,0.907054,75,82,84
standard,N,RRF ensemble (M+S),full,1047,415,0.775549,0.855778,0.902579,0.81924,0.833599,812,896,945
standard,N,RRF ensemble (M+S),overlap_present,765,322,0.747712,0.819608,0.877124,0.789475,0.80308,572,627,671
standard,N,RRF ensemble (M+S),overlap_absent,282,93,0.851064,0.953901,0.971631,0.899985,0.91639,240,269,274
standard,N,RRF ensemble (M+S),pre2020,601,251,0.873544,0.926789,0.948419,0.901693,0.910176,525,557,570
standard,N,RRF ensemble (M+S),post2020,446,164,0.643498,0.76009,0.840807,0.708131,0.730409,287,339,375
standard,N,RRF ensemble (M+S),post2020_overlap_absent,88,18,0.875,0.954545,0.977273,0.91421,0.928757,77,84,86
standard,O,LLM-only (no retrieval),full,1047,415,0.510984,0.625597,0.69723,0.574883,0.594278,535,655,730
standard,O,LLM-only (no retrieval),overlap_present,765,322,0.453595,0.572549,0.665359,0.522156,0.545224,347,438,509
standard,O,LLM-only (no retrieval),overlap_absent,282,93,0.666667,0.769504,0.783688,0.717921,0.727348,188,217,221
standard,O,LLM-only (no retrieval),pre2020,601,251,0.605657,0.710483,0.765391,0.662022,0.679341,364,427,460
standard,O,LLM-only (no retrieval),post2020,446,164,0.383408,0.511211,0.605381,0.457461,0.479651,171,228,270
standard,O,LLM-only (no retrieval),post2020_overlap_absent,88,18,0.829545,0.863636,0.886364,0.851719,0.855648,73,76,78
standard,R,Resnik BMA (similarity floor),full,1047,415,0.925501,0.99809,0.999045,0.959095,0.969349,969,1045,1046
standard,R,Resnik BMA (similarity floor),overlap_present,765,322,0.972549,0.997386,0.998693,0.983885,0.987614,744,763,764
standard,R,Resnik BMA (similarity floor),overlap_absent,282,93,0.797872,1.0,1.0,0.891844,0.919802,225,282,282
standard,R,Resnik BMA (similarity floor),pre2020,601,251,0.916805,0.998336,0.998336,0.954197,0.965533,551,600,600
standard,R,Resnik BMA (similarity floor),post2020,446,164,0.93722,0.997758,1.0,0.965695,0.974492,418,445,446
standard,R,Resnik BMA (similarity floor),post2020_overlap_absent,88,18,0.772727,1.0,1.0,0.880682,0.911657,68,88,88
hard,K,Exomiser (HPO-only),full,1047,415,0.25788,0.465138,0.505253,0.359824,0.382614,270,487,529
hard,K,Exomiser (HPO-only),overlap_present,765,322,0.265359,0.458824,0.500654,0.362638,0.384489,203,351,383
hard,K,Exomiser (HPO-only),overlap_absent,282,93,0.237589,0.48227,0.51773,0.352188,0.37753,67,136,146
hard,K,Exomiser (HPO-only),pre2020,601,251,0.341098,0.620632,0.673877,0.466731,0.507136,205,373,405
hard,K,Exomiser (HPO-only),post2020,446,164,0.14574,0.255605,0.278027,0.215762,0.214818,65,114,124
hard,K,Exomiser (HPO-only),post2020_overlap_absent,88,18,0.261364,0.397727,0.420455,0.336915,0.33579,23,35,37
hard,M,LIRICAL (HPO-only),full,1047,415,0.641834,0.77937,0.809933,0.706754,0.726054,672,816,848
hard,M,LIRICAL (HPO-only),overlap_present,765,322,0.773856,0.909804,0.92549,0.832987,0.853207,592,696,708
hard,M,LIRICAL (HPO-only),overlap_absent,282,93,0.283688,0.425532,0.496454,0.364313,0.381117,80,120,140
hard,M,LIRICAL (HPO-only),pre2020,601,251,0.617304,0.765391,0.793677,0.686145,0.706544,371,460,477
hard,M,LIRICAL (HPO-only),post2020,446,164,0.674888,0.798206,0.831839,0.734524,0.752343,301,356,371
hard,M,LIRICAL (HPO-only),post2020_overlap_absent,88,18,0.215909,0.295455,0.397727,0.283168,0.28945,19,26,35
hard,D,Multi-agent baseline,full,1047,415,0.138491,0.373448,0.508118,0.26,0.3024,145,391,532
hard,D,Multi-agent baseline,overlap_present,765,322,0.14902,0.369935,0.498039,0.26504,0.303906,114,283,381
hard,D,Multi-agent baseline,overlap_absent,282,93,0.109929,0.382979,0.535461,0.246327,0.298315,31,108,151
hard,D,Multi-agent baseline,pre2020,601,251,0.198003,0.457571,0.595674,0.328081,0.377858,119,275,358
hard,D,Multi-agent baseline,post2020,446,164,0.058296,0.26009,0.390135,0.168258,0.200717,26,116,174
hard,D,Multi-agent baseline,post2020_overlap_absent,88,18,0.068182,0.284091,0.522727,0.190514,0.247223,6,25,46
hard,L,+ CE-rerank (inside),full,1047,415,0.229226,0.514804,0.645654,0.362016,0.41754,240,539,676
hard,L,+ CE-rerank (inside),overlap_present,765,322,0.206536,0.471895,0.589542,0.331142,0.379334,158,361,451
hard,L,+ CE-rerank (inside),overlap_absent,282,93,0.29078,0.631206,0.797872,0.44577,0.521185,82,178,225
hard,L,+ CE-rerank (inside),pre2020,601,251,0.306156,0.640599,0.765391,0.457533,0.522347,184,385,460
hard,L,+ CE-rerank (inside),post2020,446,164,0.125561,0.345291,0.484305,0.233303,0.27631,56,154,216
hard,L,+ CE-rerank (inside),post2020_overlap_absent,88,18,0.295455,0.636364,0.829545,0.455255,0.537472,26,56,73
hard,S,GenoAgent,full,1047,415,0.30277,0.553009,0.644699,0.421011,0.462701,317,579,675
hard,S,GenoAgent,overlap_present,765,322,0.270588,0.509804,0.583007,0.38339,0.417811,207,390,446
hard,S,GenoAgent,overlap_absent,282,93,0.390071,0.670213,0.812057,0.523069,0.584476,110,189,229
hard,S,GenoAgent,pre2020,601,251,0.394343,0.673877,0.765391,0.522468,0.571905,237,405,460
hard,S,GenoAgent,post2020,446,164,0.179372,0.390135,0.482063,0.284296,0.315545,80,174,215
hard,S,GenoAgent,post2020_overlap_absent,88,18,0.431818,0.681818,0.840909,0.558132,0.619418,38,60,74
hard,N,RRF ensemble (M+S),full,1047,415,0.425024,0.635148,0.777459,0.534653,0.581472,445,665,814
hard,N,RRF ensemble (M+S),overlap_present,765,322,0.465359,0.677124,0.826144,0.575531,0.625623,356,518,632
hard,N,RRF ensemble (M+S),overlap_absent,282,93,0.315603,0.521277,0.64539,0.42376,0.461702,89,147,182
hard,N,RRF ensemble (M+S),pre2020,601,251,0.507488,0.715474,0.788686,0.610922,0.644576,305,430,474
hard,N,RRF ensemble (M+S),post2020,446,164,0.313901,0.526906,0.762332,0.431877,0.496437,140,235,340
hard,N,RRF ensemble (M+S),post2020_overlap_absent,88,18,0.25,0.5,0.704545,0.377108,0.439932,22,44,62
hard,R,Resnik BMA (similarity floor),full,1047,415,0.572111,0.751671,0.801337,0.65659,0.687448,599,787,839
hard,R,Resnik BMA (similarity floor),overlap_present,765,322,0.69281,0.867974,0.917647,0.772398,0.80573,530,664,702
hard,R,Resnik BMA (similarity floor),overlap_absent,282,93,0.244681,0.43617,0.485816,0.342431,0.366577,69,123,137
hard,R,Resnik BMA (similarity floor),pre2020,601,251,0.540765,0.720466,0.775374,0.629579,0.660035,325,433,466
hard,R,Resnik BMA (similarity floor),post2020,446,164,0.61435,0.793722,0.836323,0.692988,0.724389,274,354,373
hard,R,Resnik BMA (similarity floor),post2020_overlap_absent,88,18,0.215909,0.363636,0.443182,0.293514,0.317704,19,32,39
