cohort,subset,cell,metric,claimed,recomputed,abs_diff,status,n_cases,count
standard,full,K,top1,0.691,0.6905,0.0005,OK,1047,723
standard,full,K,top5,0.821,0.8214,0.0004,OK,1047,860
standard,full,K,top10,0.859,0.8586,0.0004,OK,1047,899
standard,full,K,mrr,0.754,0.754,0.0,OK,1047,
standard,full,K,ndcg10,0.775,0.7747,0.0003,OK,1047,
standard,full,M,top1,0.924,0.9236,0.0004,OK,1047,967
standard,full,M,top5,0.989,0.9885,0.0005,OK,1047,1035
standard,full,M,top10,0.999,0.999,0.0,OK,1047,1046
standard,full,M,mrr,0.953,0.9527,0.0003,OK,1047,
standard,full,M,ndcg10,0.964,0.9642,0.0002,OK,1047,
standard,full,D,top1,0.46,0.4604,0.0004,OK,1047,482
standard,full,D,top5,0.581,0.5807,0.0003,OK,1047,608
standard,full,D,top10,0.628,0.6285,0.0005,OK,1047,658
standard,full,D,mrr,0.529,0.5295,0.0005,OK,1047,
standard,full,D,ndcg10,0.542,0.5424,0.0004,OK,1047,
standard,full,L,top1,0.698,0.6982,0.0002,OK,1047,731
standard,full,L,top5,0.791,0.7908,0.0002,OK,1047,828
standard,full,L,top10,0.814,0.8138,0.0002,OK,1047,852
standard,full,L,mrr,0.745,0.7452,0.0002,OK,1047,
standard,full,L,ndcg10,0.756,0.7563,0.0003,OK,1047,
standard,full,S,top1,0.726,0.7259,0.0001,OK,1047,760
standard,full,S,top5,0.798,0.7985,0.0005,OK,1047,836
standard,full,S,top10,0.817,0.8166,0.0004,OK,1047,855
standard,full,S,mrr,0.766,0.7663,0.0003,OK,1047,
standard,full,S,ndcg10,0.773,0.7733,0.0003,OK,1047,
standard,full,N,top1,0.775,0.7755,0.0005,OK,1047,812
standard,full,N,top5,0.856,0.8558,0.0002,OK,1047,896
standard,full,N,top10,0.903,0.9026,0.0004,OK,1047,945
standard,full,N,mrr,0.819,0.8192,0.0002,OK,1047,
standard,full,N,ndcg10,0.834,0.8336,0.0004,OK,1047,
standard,full,O,top1,0.511,0.511,0.0,OK,1047,535
standard,full,O,top5,0.626,0.6256,0.0004,OK,1047,655
standard,full,O,top10,0.697,0.6972,0.0002,OK,1047,730
standard,full,O,mrr,0.575,0.5749,0.0001,OK,1047,
standard,full,O,ndcg10,0.594,0.5943,0.0003,OK,1047,
standard,overlap_absent,S,top1,0.858,0.8582,0.0002,OK,282,242
standard,overlap_absent,S,top5,0.933,0.9326,0.0004,OK,282,263
standard,overlap_absent,S,top10,0.94,0.9397,0.0003,OK,282,265
standard,overlap_absent,L,top1,0.823,0.8227,0.0003,OK,282,232
standard,overlap_absent,K,top1,0.78,0.7801,0.0001,OK,282,220
standard,overlap_absent,M,top1,0.777,0.7766,0.0004,OK,282,219
standard,overlap_absent,M,top5,0.965,0.9645,0.0005,OK,282,272
standard,overlap_absent,M,top10,1.0,1.0,0.0,OK,282,282
standard,overlap_absent,O,top1,0.667,0.6667,0.0003,OK,282,188
standard,overlap_present,M,top1,0.978,0.9778,0.0002,OK,765,748
standard,overlap_present,O,top1,0.454,0.4536,0.0004,OK,765,347
standard,pre2020,K,top1,0.847,0.8469,0.0001,OK,601,509
standard,post2020,K,top1,0.48,0.4798,0.0002,OK,446,214
standard,pre2020,S,top1,0.839,0.8386,0.0004,OK,601,504
standard,post2020,S,top1,0.574,0.574,0.0,OK,446,256
standard,pre2020,M,top1,0.915,0.9151,0.0001,OK,601,550
standard,post2020,M,top1,0.935,0.935,0.0,OK,446,417
standard,post2020_overlap_absent,S,top1,0.852,0.8523,0.0003,OK,88,75
standard,post2020_overlap_absent,L,top1,0.823,0.8182,0.0048,MISMATCH,88,72
standard,post2020_overlap_absent,K,top1,0.818,0.8182,0.0002,OK,88,72
standard,post2020_overlap_absent,M,top1,0.773,0.7727,0.0003,OK,88,68
hard,full,K,top1,0.258,0.2579,0.0001,OK,1047,270
hard,full,M,top1,0.642,0.6418,0.0002,OK,1047,672
hard,full,D,top1,0.139,0.1385,0.0005,ROUNDING,1047,145
hard,full,L,top1,0.229,0.2292,0.0002,OK,1047,240
hard,full,S,top1,0.303,0.3028,0.0002,OK,1047,317
hard,full,N,top1,0.425,0.425,0.0,OK,1047,445
hard,overlap_absent,K,top1,0.238,0.2376,0.0004,OK,282,67
hard,overlap_absent,M,top1,0.284,0.2837,0.0003,OK,282,80
hard,overlap_absent,D,top1,0.11,0.1099,0.0001,OK,282,31
hard,overlap_absent,L,top1,0.291,0.2908,0.0002,OK,282,82
hard,overlap_absent,S,top1,0.39,0.3901,0.0001,OK,282,110
hard,overlap_absent,N,top1,0.316,0.3156,0.0004,OK,282,89
hard,overlap_absent,S,top5,0.67,0.6702,0.0002,OK,282,189
hard,overlap_absent,S,top10,0.812,0.8121,0.0001,OK,282,229
hard,overlap_absent,L,top10,0.798,0.7979,0.0001,OK,282,225
hard,overlap_absent,S,mrr,0.523,0.5231,0.0001,OK,282,
hard,overlap_present,M,top1,0.774,0.7739,0.0001,OK,765,592
hard,overlap_present,S,top1,0.271,0.2706,0.0004,OK,765,207
